frame_id,timestamp,screen_x,screen_y,left_yaw,left_pitch,left_eye_center_x,left_eye_center_y,right_yaw,right_pitch,right_eye_center_x,right_eye_center_y,face_confidence,processing_time
93,1760444723.014902,,,-0.17307197079062464,-0.2150845557451248,785,343,-0.17307197079062464,-0.2150845557451248,693,346,0.9992844462394714,0
94,1760444723.150868,,,-0.1323444701731205,-0.14042675495147705,785,344,-0.1323444701731205,-0.14042675495147705,693,347,0.9993293285369873,0
95,1760444723.319424,,,-0.09889893531799317,-0.038898058235645294,786,345,-0.09889893531799317,-0.038898058235645294,694,348,0.9992778897285461,0
96,1760444723.454407,,,-0.07189314998686314,-0.020096516609191893,785,344,-0.07189314998686314,-0.020096516609191893,693,346,0.9993575215339661,0
97,1760444723.598934,,,-0.07549580968916417,-0.01109699308872223,784,343,-0.07549580968916417,-0.01109699308872223,692,345,0.9994068145751953,0
98,1760444723.7308025,,,-0.10167207047343255,-0.0030096806585788727,784,343,-0.10167207047343255,-0.0030096806585788727,691,345,0.9994856119155884,0
99,1760444723.880991,,,-0.09317664876580238,-0.006398802995681762,784,343,-0.09317664876580238,-0.006398802995681762,691,345,0.9995050430297852,0
100,1760444724.0239766,,,-0.08962557613849641,-0.020461554080247878,783,343,-0.08962557613849641,-0.020461554080247878,691,345,0.9994470477104187,0
101,1760444724.1700892,,,-0.07397290915250779,-0.03398652821779251,783,343,-0.07397290915250779,-0.03398652821779251,691,346,0.9995538592338562,0
102,1760444724.3099406,,,-0.053238172084093094,-0.010315550863742829,783,343,-0.053238172084093094,-0.010315550863742829,691,346,0.9995608925819397,0
103,1760444724.446511,,,-0.052722680196166036,-0.0030010730028152462,783,343,-0.052722680196166036,-0.0030010730028152462,690,346,0.9995300769805908,0
104,1760444724.588613,,,-0.07307237125933169,-0.01704139858484268,783,343,-0.07307237125933169,-0.01704139858484268,690,346,0.9995173215866089,0
105,1760444724.7319782,,,-0.08016688972711562,-0.028640681505203245,783,343,-0.08016688972711562,-0.028640681505203245,690,346,0.9994971752166748,0
106,1760444724.872393,,,-0.07787854373455047,-0.021899949014186862,783,343,-0.07787854373455047,-0.021899949014186862,690,345,0.9995620846748352,0
107,1760444725.0174954,,,-0.06423579044640064,-0.04031846523284912,783,343,-0.06423579044640064,-0.04031846523284912,691,345,0.9995338916778564,0
108,1760444725.1655476,,,-0.06752181611955166,-0.024553878605365752,783,342,-0.06752181611955166,-0.024553878605365752,691,345,0.9995681643486023,0
109,1760444725.3013995,,,-0.0510822705924511,-0.028364347666501998,784,342,-0.0510822705924511,-0.028364347666501998,691,345,0.999519944190979,0
110,1760444725.4476008,,,-0.03766651786863804,-0.032717079669237134,784,342,-0.03766651786863804,-0.032717079669237134,691,345,0.999483585357666,0
111,1760444725.5862,,,-0.0487674243748188,-0.040940335392951964,784,342,-0.0487674243748188,-0.040940335392951964,691,345,0.999294638633728,0
112,1760444725.7292688,,,-0.0573554091155529,-0.01891617625951767,784,342,-0.0573554091155529,-0.01891617625951767,691,345,0.9992802739143372,0
113,1760444725.860933,,,-0.05216036289930344,-0.027840084582567214,785,342,-0.05216036289930344,-0.027840084582567214,692,346,0.999283492565155,0
114,1760444726.0048113,,,-0.04508404172956944,-0.008941160887479784,786,342,-0.04508404172956944,-0.008941160887479784,694,346,0.9993321299552917,0
115,1760444726.144927,,,-0.05843952596187592,-0.0321395993232727,787,342,-0.05843952596187592,-0.0321395993232727,695,346,0.9991710186004639,0
116,1760444726.2797418,,,-0.04561164043843746,-0.008435763418674472,788,342,-0.04561164043843746,-0.008435763418674472,696,345,0.99895179271698,0
117,1760444726.431701,,,-0.05333553850650787,-0.003624511510133742,788,342,-0.05333553850650787,-0.003624511510133742,696,345,0.9991590976715088,0
118,1760444726.5643466,,,-0.06467250846326351,-0.039413935691118236,787,342,-0.06467250846326351,-0.039413935691118236,694,345,0.9990719556808472,0
119,1760444726.7049236,,,-0.06726494878530502,-0.006295745074748995,786,343,-0.06726494878530502,-0.006295745074748995,693,345,0.9990440011024475,0
120,1760444726.8494232,,,-0.07015624046325683,-0.008262318372726441,786,343,-0.07015624046325683,-0.008262318372726441,693,345,0.9990891218185425,0
121,1760444726.985226,,,-0.05872848108410835,-0.03208247721195221,786,343,-0.05872848108410835,-0.03208247721195221,693,345,0.9991787075996399,0
122,1760444727.131835,,,-0.06527370736002922,-0.010616743564605714,786,343,-0.06527370736002922,-0.010616743564605714,693,345,0.9989855885505676,0
123,1760444727.2663467,,,-0.06199830211699009,-0.004312287271022796,786,343,-0.06199830211699009,-0.004312287271022796,693,345,0.9991682767868042,0
124,1760444727.403123,,,-0.0645370576530695,-0.00987749844789505,786,343,-0.0645370576530695,-0.00987749844789505,693,345,0.9989818930625916,0
125,1760444727.5353656,,,-0.07434141635894775,-0.006323467195034027,786,343,-0.07434141635894775,-0.006323467195034027,693,345,0.9989000558853149,0
126,1760444727.679801,,,-0.06541287787258625,-0.007690361887216568,786,343,-0.06541287787258625,-0.007690361887216568,693,346,0.998964786529541,0
127,1760444727.8119872,,,-0.07183250524103642,-0.02521424815058708,786,343,-0.07183250524103642,-0.02521424815058708,693,346,0.9990900754928589,0
128,1760444727.9541452,,,-0.0711064837872982,-0.005913577973842623,786,343,-0.0711064837872982,-0.005913577973842623,693,346,0.9990231990814209,0
129,1760444728.0959418,,,-0.07659097462892532,0.0029674082994461063,786,343,-0.07659097462892532,0.0029674082994461063,693,346,0.999193012714386,0
