timestamp,frame_id,event_type,details
1760444866.4395936,1078,attention_out_of_zone,"{""zone"": ""out_of_zone""}"
1760444866.5843468,1079,low_situational_awareness,"{""sa_score"": 0.20910559537715556}"
1760444866.5843468,1079,attention_out_of_zone,"{""zone"": ""out_of_zone""}"
1760444866.7311447,1080,low_situational_awareness,"{""sa_score"": 0.20060364433207178}"
1760444866.7311447,1080,attention_out_of_zone,"{""zone"": ""out_of_zone""}"
1760444866.8861632,1081,low_situational_awareness,"{""sa_score"": 0.19641902558994231}"
1760444866.8861632,1081,attention_out_of_zone,"{""zone"": ""out_of_zone""}"
1760444867.0293937,1082,low_situational_awareness,"{""sa_score"": 0.1960150299904978}"
1760444867.0293937,1082,attention_out_of_zone,"{""zone"": ""out_of_zone""}"
1760444867.1733282,1083,low_situational_awareness,"{""sa_score"": 0.18975840835443739}"
1760444867.3154109,1084,low_situational_awareness,"{""sa_score"": 0.19289135401246238}"
1760444867.4572845,1085,low_situational_awareness,"{""sa_score"": 0.1962994318857961}"
1760444867.4572845,1085,attention_out_of_zone,"{""zone"": ""out_of_zone""}"
1760444867.6100733,1086,low_situational_awareness,"{""sa_score"": 0.19258463344506901}"
1760444867.6100733,1086,attention_out_of_zone,"{""zone"": ""out_of_zone""}"
1760444867.755098,1087,low_situational_awareness,"{""sa_score"": 0.19006388290039228}"
1760444867.755098,1087,attention_out_of_zone,"{""zone"": ""out_of_zone""}"
1760444867.8974617,1088,low_situational_awareness,"{""sa_score"": 0.19513606970190073}"
1760444867.8974617,1088,attention_out_of_zone,"{""zone"": ""out_of_zone""}"
1760444868.0501127,1089,low_situational_awareness,"{""sa_score"": 0.18987321076466993}"
1760444868.1994717,1090,low_situational_awareness,"{""sa_score"": 0.18794603720494749}"
1760444868.3454862,1091,low_situational_awareness,"{""sa_score"": 0.18823529160678087}"
1760444868.4884639,1092,low_situational_awareness,"{""sa_score"": 0.18574981454192507}"
1760444868.4884639,1092,attention_out_of_zone,"{""zone"": ""out_of_zone""}"
